model,feature,gain
margin_q75,Avg_Last5NetRating,2.228774070739746
margin_q75,Diff_NeutralGamePct,2.2261154651641846
margin_q75,Avg_SOSOppWinPct,2.1790988445281982
margin_q75,Avg_TOVRateMean,2.1571948528289795
margin_q75,Avg_TSMean,2.1329808235168457
margin_q75,Diff_AwayWinPct,2.126748561859131
margin_q75,Diff_Last5OffRating,2.107790470123291
margin_q75,Diff_Last5OppScore,2.0947906970977783
margin_q75,Avg_HomeWinPct,2.088531494140625
margin_q75,Avg_ThreeRateMean,2.0883662700653076
margin_q75,Avg_Last10DefRating,2.0552120208740234
margin_q75,Diff_Wins,2.046414375305176
margin_q75,Diff_SOSOppWinPct,2.035268783569336
margin_q75,Avg_Last10OppScore,1.9981510639190674
margin_q75,Avg_NeutralWinPct,1.9716885089874268
margin_q75,Diff_OppFG3PctMean,1.9532610177993774
margin_q75,Avg_MasseyWorstRank,1.9442123174667358
margin_q75,Avg_PaceMean,1.936673879623413
margin_q75,Avg_Last5OffRating,1.9033317565917969
margin_q75,Diff_FG3PctMean,1.8950952291488647
margin_q75,Avg_Last5DefRating,1.8869996070861816
margin_q75,Avg_Last10Score,1.868610143661499
margin_q75,Avg_MasseyStdRank,1.842299461364746
margin_q75,Avg_MarginMean,1.8377532958984375
margin_q75,Avg_FTPctMean,1.8333642482757568
margin_q75,Avg_eFGMean,1.831678867340088
margin_q75,Avg_OppeFGMean,1.8108340501785278
margin_q75,Diff_ORBRateMean,1.7942606210708618
margin_q75,Diff_FTRateMean,1.7789255380630493
margin_q75,Diff_PFMean,1.7701330184936523
margin_q75,Avg_ORBRateMean,1.7663778066635132
margin_q75,Avg_Last5WinPct,1.7554264068603516
margin_q75,Avg_OppFG3PctMean,1.7508381605148315
margin_q75,Diff_TSMean,1.7496763467788696
margin_q75,Avg_FTRateMean,1.744861364364624
margin_q75,Diff_PaceMean,1.7355960607528687
margin_q75,Avg_EloPeak,1.7351999282836914
margin_q75,Avg_OppScoreMean,1.7214785814285278
margin_q75,Diff_AstMean,1.7114365100860596
margin_q75,Avg_PFMean,1.7103971242904663
margin_q75,Diff_DRBRateMean,1.7085939645767212
margin_q75,Diff_WinPct,1.6954584121704102
margin_q75,Avg_NeutralGamePct,1.6850929260253906
