Team,ATS Record,Cover %,MOV,ATS +/-
Radford,14-15-0,48.3%,2.5,-2.2
Texas St,14-15-1,48.3%,2.9,-0.4
Hou Christian,14-15-1,48.3%,-5.1,-0.9
Omaha,14-15-0,48.3%,-0.5,0.1
Stonehill,14-15-2,48.3%,-2.2,0.5
Lindenwood,14-15-1,48.3%,5.1,-0.2
Harvard,12-13-1,48.0%,3.4,2.6
Houston,16-18-0,47.1%,14.3,0.3
Dayton,16-18-0,47.1%,4.5,-1.5
BYU,16-18-0,47.1%,8.6,-1.7
Wake Forest,15-17-1,46.9%,1.8,-0.5
Tulane,15-17-0,46.9%,-3.2,-2.7
Sacred Heart,15-17-0,46.9%,-1.4,-1.3
UCF,15-17-0,46.9%,2.5,1.2
Utah,15-17-0,46.9%,-4.8,-0.6
Portland,15-17-0,46.9%,-4.1,0.2
West Virginia,15-17-0,46.9%,4.4,-0.8
Nicholls,15-17-0,46.9%,-2.5,-0.3
Oral Roberts,14-16-0,46.7%,-4.2,-1.1
Duquesne,14-16-1,46.7%,3.1,-0.3
Lipscomb,14-16-0,46.7%,3.9,-0.8
Evansville,14-16-0,46.7%,-9.5,-3.8
Idaho St,14-16-0,46.7%,-1.6,-2.5
SE Missouri St,14-16-0,46.7%,3.9,-0.4
Pepperdine,14-16-0,46.7%,-7.3,-0.6
SE Louisiana,14-16-0,46.7%,-5.4,-0.9
Kennesaw St,14-16-1,46.7%,7.3,0.4
E Texas A&M,14-16-0,46.7%,-4.3,-1.7
St Francis PA,13-15-1,46.4%,-9.5,-1.7
N Illinois,13-15-0,46.4%,-8.3,-3.1
Norfolk St,13-15-0,46.4%,2.6,-1.0
Sacramento St,13-15-0,46.4%,-4.3,0.0
Jacksonville St,13-15-1,46.4%,4.3,-0.1
UTEP,13-15-0,46.4%,-3.1,-1.7
Fairfield,15-18-0,45.5%,2.8,0.7
Utah St,15-18-0,45.5%,12.2,1.0
